PassengerId,Survived,Pclass,Sex,relatives_count
1,0,3,male,1
2,1,1,female,1
3,1,3,female,0
4,1,1,female,1
5,0,3,male,0
6,0,3,male,0
7,0,1,male,0
8,0,3,male,4
9,1,3,female,2
10,1,2,female,1
11,1,3,female,2
12,1,1,female,0
13,0,3,male,0
14,0,3,male,6
15,0,3,female,0
16,1,2,female,0
17,0,3,male,5
18,1,2,male,0
19,0,3,female,1
20,1,3,female,0
21,0,2,male,0
22,1,2,male,0
23,1,3,female,0
24,1,1,male,0
25,0,3,female,4
26,1,3,female,6
27,0,3,male,0
28,0,1,male,5
29,1,3,female,0
30,0,3,male,0
31,0,1,male,0
32,1,1,female,1
33,1,3,female,0
34,0,2,male,0
35,0,1,male,1
36,0,1,male,1
37,1,3,male,0
38,0,3,male,0
39,0,3,female,2
40,1,3,female,1
41,0,3,female,1
42,0,2,female,1
43,0,3,male,0
44,1,2,female,3
45,1,3,female,0
46,0,3,male,0
47,0,3,male,1
48,1,3,female,0
49,0,3,male,2
50,0,3,female,1
51,0,3,male,5
52,0,3,male,0
53,1,1,female,1
54,1,2,female,1
55,0,1,male,1
56,1,1,male,0
57,1,2,female,0
58,0,3,male,0
59,1,2,female,3
60,0,3,male,7
61,0,3,male,0
62,1,1,female,0
63,0,1,male,1
64,0,3,male,5
65,0,1,male,0
66,1,3,male,2
67,1,2,female,0
68,0,3,male,0
69,1,3,female,6
70,0,3,male,2
71,0,2,male,0
72,0,3,female,7
73,0,2,male,0
74,0,3,male,1
75,1,3,male,0
76,0,3,male,0
77,0,3,male,0
78,0,3,male,0
79,1,2,male,2
80,1,3,female,0
81,0,3,male,0
82,1,3,male,0
83,1,3,female,0
84,0,1,male,0
85,1,2,female,0
86,1,3,female,3
87,0,3,male,4
88,0,3,male,0
89,1,1,female,5
90,0,3,male,0
91,0,3,male,0
92,0,3,male,0
93,0,1,male,1
94,0,3,male,3
95,0,3,male,0
96,0,3,male,0
97,0,1,male,0
98,1,1,male,1
99,1,2,female,1
100,0,2,male,1
101,0,3,female,0
102,0,3,male,0
103,0,1,male,1
104,0,3,male,0
105,0,3,male,2
106,0,3,male,0
107,1,3,female,0
108,1,3,male,0
