Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
2021,90,"Drama, Musical",6.0,35,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
2010,105,Drama,6.0,35,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali
1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
2005,142,"Drama, Romance, War",7.4,35,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
2008,59,Documentary,6.0,35,Anirban Datta,Unknown,Unknown,Unknown
2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
1990,131,Thriller,6.0,35,Harish,Saraswati,Disco Shanti,Unknown
2018,102,"Comedy, Drama",7.4,35,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
1991,131,Unknown,6.0,35,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam
1987,131,"Comedy, Drama, Fantasy",6.0,35,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu
2010,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
1948,131,Unknown,6.0,35,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi
2021,131,"Comedy, Drama, Family",6.0,35,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
1958,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
1991,131,Biography,6.0,35,Sohail Tatari,Unknown,Unknown,Unknown
2021,131,Documentary,6.0,35,Varrun Sukhraj,Unknown,Unknown,Unknown
2017,116,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
2010,131,Action,6.0,35,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
2020,66,Drama,6.0,35,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
2009,146,"Drama, Horror, Mystery",7.3,35,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
2021,131,Comedy,6.0,35,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
2005,116,Drama,7.1,35,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
2002,112,Unknown,6.0,35,Batul Mukhtiar,Unknown,Unknown,Unknown
